agent,id,difficulty,gold_success,agent_success,sql_generated,prediction_success,content_match,strict_match,answer_scalar_match,gold_row_count,predicted_row_count,agent_elapsed_s,prediction_error,agent_error,question,generated_sql
pydantic_ai,GT001,easy,True,True,True,True,True,True,True,1,1,3.5664999590007938,,,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes
pydantic_ai,GT002,easy,True,True,True,True,True,True,True,1,1,2.3532879589984077,,,Quantas mortes foram registradas?,SELECT COUNT(*) AS total_mortes FROM internacoes WHERE MORTE = TRUE
pydantic_ai,GT003,easy,True,True,True,True,True,True,True,1,1,3.5824960420031857,,,Quantos procedimentos diferentes existem cadastrados?,"SELECT COUNT(*) AS total_procedimentos
FROM procedimentos"
pydantic_ai,GT004,easy,True,True,True,True,True,True,True,1,1,4.505409583001892,,,Quantos códigos CID-10 estão disponíveis?,SELECT COUNT(*) AS total_cids FROM cid
pydantic_ai,GT005,easy,True,True,True,True,True,True,False,1,1,3.0717780839986517,,,Quantos hospitais estão cadastrados?,"SELECT COUNT(*) AS total_hospitais
FROM hospital"
pydantic_ai,GT006,easy,True,True,True,True,True,True,False,1,1,3.8925427499998477,,,Quantos municípios têm dados socioeconômicos registrados?,"SELECT COUNT(DISTINCT ""CO_MUNICIPIO_6D"") AS total_municipios
FROM socioeconomico
WHERE ""CO_MUNICIPIO_6D"" IS NOT NULL"
pydantic_ai,GT007,easy,True,True,True,True,True,True,True,1,1,5.028644499998336,,,Quantos registros de internação em UTI existem?,"SELECT COUNT(*) AS total_uti
FROM internacoes
WHERE VAL_UTI > 0"
pydantic_ai,GT008,easy,True,True,True,True,True,True,True,1,1,3.953256832999614,,,Quantos casos de VDRL positivo foram registrados?,"SELECT COUNT(*) AS total_vdrl FROM internacoes WHERE ""IND_VDRL"" = true"
pydantic_ai,GT009,easy,True,True,True,True,True,True,True,1,1,2.285552417000872,,,Quantas especialidades médicas estão cadastradas?,"SELECT COUNT(*) AS total_especialidades
FROM especialidade"
pydantic_ai,GT010,easy,True,True,True,True,True,True,True,1,1,3.3532097500028613,,,Quantos casos obstétricos foram registrados?,"SELECT COUNT(*) AS total_obstetricos FROM internacoes WHERE ""ESPEC"" = 2"
pydantic_ai,GT011,medium,True,True,True,True,True,True,True,1,1,3.6605861249990994,,,Quantos pacientes têm vínculo previdenciário informado?,"SELECT COUNT(*) AS total_vincprev
FROM internacoes
WHERE ""VINCPREV"" IS NOT NULL
  AND ""VINCPREV"" <> 0"
pydantic_ai,GT012,medium,True,True,True,True,True,True,True,1,1,2.4197077919998264,,,Quantos pacientes têm nível de instrução informado?,"SELECT COUNT(*) AS total_instrucao
FROM internacoes
WHERE ""INSTRU"" IS NOT NULL
  AND ""INSTRU"" != 0"
pydantic_ai,GT013,easy,True,True,True,True,True,True,True,1,1,4.137621958001546,,,Quantos pacientes do sexo masculino foram internados?,"SELECT COUNT(*) AS homens FROM internacoes WHERE ""SEXO"" = 1"
pydantic_ai,GT014,medium,True,True,True,True,False,False,False,1,1,5.921355124999536,,,Quantas internações por meningite ocasionaram em morte?,"SELECT COUNT(*) AS total_mortes
FROM internacoes i
JOIN cid c ON i.DIAG_PRINC = c.CID
WHERE c.DS_CATEGORIA IN (
  'Meningite viral',
  'Meningite bacter NCOP',
  'Meningite em doenc bacter COP',
  'Meningite em outr doenc infecc e parasit COP',
  'Meningite dev outr causas e a causas NE',
  'Tuberc do sist nervoso',
  'Listeriose',
  'Infecc meningogocica'
)
AND i.MORTE = TRUE"
pydantic_ai,GT015,easy,True,True,True,True,True,True,,1,1,7.331386500001827,,,Qual a descrição do código CID A15?,"SELECT ""DESCRICAO"" FROM cid WHERE ""CID"" = 'A15'"
pydantic_ai,GT017,easy,True,True,True,True,True,True,True,1,1,3.1515475000014703,,,Qual o tempo médio de permanência hospitalar?,"SELECT AVG(""DIAS_PERM"") AS tempo_medio_permanencia FROM internacoes"
pydantic_ai,GT018,medium,True,True,True,True,True,True,,0,0,7.577461291999498,,,"Quando houver dados socioeconômicos, quantos habitantes tem o município com a maior população registrada?","WITH latest_year AS (
  SELECT MAX(""NU_ANO"") AS ano
  FROM socioeconomico
  WHERE ""QT_POPULACAO"" IS NOT NULL
)
SELECT mu.""NO_MUNICIPIO"" AS municipio_maior_populacao,
       s.""QT_POPULACAO"" AS total_habitantes
FROM socioeconomico s
JOIN latest_year ly
  ON s.""NU_ANO"" = ly.ano
JOIN municipios mu
  ON s.""CO_MUNICIPIO_6D"" = mu.""CO_MUNICIPIO_6D""
WHERE s.""QT_POPULACAO"" IS NOT NULL
ORDER BY s.""QT_POPULACAO"" DESC
LIMIT 1"
pydantic_ai,GT019,medium,True,True,True,True,False,False,,5,5,9.115124084000854,,,Quais os cinco municípios com mais internações obstétricas registradas?,"WITH obstetricas AS (
    SELECT
        i.MUNIC_RES,
        COUNT(*) AS total_internacoes
    FROM internacoes i
    JOIN cid c ON i.DIAG_PRINC = c.CID
    WHERE c.DS_GRUPO = 'O94-O99 Outras afecções obstétricas NCOP'
    GROUP BY i.MUNIC_RES
)
SELECT
    mu.NO_MUNICIPIO AS municipio,
    mu.SG_UF AS uf,
    o.total_internacoes
FROM obstetricas o
LEFT JOIN municipios mu
    ON o.MUNIC_RES = mu.CO_MUNICIPIO_6D
ORDER BY o.total_internacoes DESC, municipio ASC, uf ASC
LIMIT 5"
pydantic_ai,GT021,hard,True,True,True,True,True,False,,5,5,6.697143540997786,,,Quais são os 5 procedimentos principais mais registrados nas internações?,"SELECT p.""PROC_REA"", p.""NOME_PROC"" AS procedimento, COUNT(*) AS internacoes
FROM internacoes i
JOIN procedimentos p ON i.""PROC_REA"" = p.""PROC_REA""
GROUP BY p.""PROC_REA"", p.""NOME_PROC""
ORDER BY internacoes DESC, procedimento ASC
LIMIT 5"
pydantic_ai,GT022,easy,True,True,True,True,True,True,True,1,1,3.001982333000342,,,Quantos hospitais registraram pelo menos uma morte?,"SELECT COUNT(DISTINCT ""CNES"") AS hospitais_com_mortes
FROM internacoes
WHERE ""MORTE"" = TRUE"
pydantic_ai,GT023,medium,True,True,True,True,True,True,True,1,1,4.408044667001377,,,Quantas internações de UTI resultaram em óbito?,"SELECT COUNT(*) AS uti_com_obito
FROM internacoes
WHERE ""VAL_UTI"" > 0
  AND ""MORTE"" = TRUE"
