agent,id,difficulty,gold_success,agent_success,sql_generated,prediction_success,content_match,strict_match,answer_scalar_match,gold_row_count,predicted_row_count,agent_elapsed_s,prediction_error,agent_error,question,generated_sql
pydantic_ai,CID001,easy,True,True,True,True,True,False,True,1,1,7.71390354200048,,,Quantas internações tiveram diagnóstico principal de diabetes mellitus?,"SELECT COUNT(*) AS total_diabetes_mellitus
FROM internacoes i
WHERE (i.DIAG_PRINC LIKE 'E10%' OR i.DIAG_PRINC LIKE 'E11%' OR i.DIAG_PRINC LIKE 'E12%' OR i.DIAG_PRINC LIKE 'E13%' OR i.DIAG_PRINC LIKE 'E14%')"
pydantic_ai,CID002,easy,True,True,True,True,True,False,True,1,1,8.906517375002295,,,Quantas internações por pneumonia foram registradas?,"SELECT COUNT(*) AS total_internacoes
FROM internacoes i
WHERE (i.DIAG_PRINC LIKE 'J12%' OR i.DIAG_PRINC LIKE 'J13%' OR i.DIAG_PRINC LIKE 'J14%' OR i.DIAG_PRINC LIKE 'J15%' OR i.DIAG_PRINC LIKE 'J16%' OR i.DIAG_PRINC LIKE 'J17%' OR i.DIAG_PRINC LIKE 'J18%')"
pydantic_ai,CID003,easy,True,True,True,True,True,True,True,1,1,5.529889666999225,,,Quantas internações por asma aconteceram?,"SELECT COUNT(*) AS internacoes
FROM internacoes i
WHERE (i.DIAG_PRINC LIKE 'J45%' OR i.DIAG_PRINC LIKE 'J46%')"
pydantic_ai,CID004,easy,True,True,True,True,True,False,True,1,1,19.763669666997885,,,Quantas internações por dengue existem no banco?,"SELECT COUNT(*) AS total_internacoes
FROM internacoes i
WHERE (i.DIAG_PRINC LIKE 'A90%' OR i.DIAG_PRINC LIKE 'A91%')"
pydantic_ai,CID005,easy,True,True,True,True,True,False,True,1,1,5.940382834000047,,,Quantas internações por câncer de mama existem?,"SELECT COUNT(*) AS total_internacoes
FROM internacoes i
WHERE i.DIAG_PRINC LIKE 'C50%'"
pydantic_ai,CID006,medium,True,True,True,True,True,False,,17,17,20.707757457999833,,,Quantas mortes hospitalares por tuberculose ocorreram por ano?,"SELECT EXTRACT(YEAR FROM i.DT_INTER) AS ano, COUNT(*) AS mortes_hospitalares
FROM internacoes i
WHERE i.MORTE = TRUE
  AND (i.DIAG_PRINC LIKE 'A15%' OR i.DIAG_PRINC LIKE 'A16%' OR i.DIAG_PRINC LIKE 'A17%' OR i.DIAG_PRINC LIKE 'A18%' OR i.DIAG_PRINC LIKE 'A19%')
  AND i.DT_INTER IS NOT NULL
GROUP BY 1
ORDER BY 1"
pydantic_ai,CID007,medium,True,True,True,True,False,False,,10,10,7.02460620799684,,,Quais são os 10 municípios do RS com mais internações por diabetes mellitus?,"WITH agg AS (
    SELECT
        m.NO_MUNICIPIO AS municipio,
        COUNT(*) AS internacoes
    FROM internacoes i
    LEFT JOIN municipios m
        ON i.MUNIC_RES = m.CO_MUNICIPIO_6D
       AND m.SG_UF = 'RS'
    WHERE (
        i.DIAG_PRINC LIKE 'E10%'
        OR i.DIAG_PRINC LIKE 'E11%'
        OR i.DIAG_PRINC LIKE 'E12%'
        OR i.DIAG_PRINC LIKE 'E13%'
        OR i.DIAG_PRINC LIKE 'E14%'
    )
    GROUP BY m.NO_MUNICIPIO
)
SELECT
    COALESCE(municipio, 'Nao mapeado') AS municipio,
    internacoes
FROM agg
ORDER BY internacoes DESC, municipio ASC
LIMIT 10"
pydantic_ai,CID008,medium,True,True,True,True,True,True,,5,5,6.4049933749993215,,,Qual foi a evolução anual das internações por HIV/AIDS entre 2019 e 2023?,"SELECT
  EXTRACT(YEAR FROM i.DT_INTER) AS ano,
  COUNT(*) AS internacoes
FROM internacoes i
WHERE i.DT_INTER IS NOT NULL
  AND EXTRACT(YEAR FROM i.DT_INTER) BETWEEN 2019 AND 2023
  AND (
    i.DIAG_PRINC LIKE 'B20%'
    OR i.DIAG_PRINC LIKE 'B21%'
    OR i.DIAG_PRINC LIKE 'B22%'
    OR i.DIAG_PRINC LIKE 'B23%'
    OR i.DIAG_PRINC LIKE 'B24%'
  )
GROUP BY ano
ORDER BY ano"
pydantic_ai,CID009,medium,True,True,True,True,True,False,,4,4,5.897925584002223,,,Como as internações por hipertensão essencial se distribuem por caráter de internação?,"WITH base AS (
  SELECT
    i.CAR_INT,
    c.DESCRICAO AS carater_internacao
  FROM internacoes i
  JOIN car_int c
    ON i.CAR_INT = c.CAR_INT
  WHERE i.DIAG_PRINC LIKE 'I10%'
)
SELECT
  carater_internacao,
  COUNT(*) AS internacoes
FROM base
GROUP BY carater_internacao
ORDER BY internacoes DESC, carater_internacao ASC"
pydantic_ai,CID010,hard,True,True,True,True,True,False,,5,5,12.239287750002404,,,"Entre 2019 e 2023, qual percentual das internações por doenças isquêmicas do coração foi infarto do miocárdio por ano?","WITH base AS (
    SELECT
        EXTRACT(YEAR FROM i.DT_INTER) AS ano,
        COUNT(*) AS total_doencas_isquemicas,
        SUM(CASE WHEN (i.DIAG_PRINC LIKE 'I21%' OR i.DIAG_PRINC LIKE 'I22%') THEN 1 ELSE 0 END) AS total_infarto
    FROM internacoes i
    WHERE i.DT_INTER IS NOT NULL
      AND EXTRACT(YEAR FROM i.DT_INTER) BETWEEN 2019 AND 2023
      AND (
          i.DIAG_PRINC LIKE 'I20%'
          OR i.DIAG_PRINC LIKE 'I21%'
          OR i.DIAG_PRINC LIKE 'I22%'
          OR i.DIAG_PRINC LIKE 'I23%'
          OR i.DIAG_PRINC LIKE 'I24%'
          OR i.DIAG_PRINC LIKE 'I25%'
      )
    GROUP BY 1
)
SELECT
    ano,
    total_doencas_isquemicas,
    total_infarto,
    ROUND(total_infarto * 100.0 / NULLIF(total_doencas_isquemicas, 0), 2) AS percentual_infarto
FROM base
ORDER BY ano"
pydantic_ai,CID011,hard,True,True,True,True,True,False,,17,17,8.959634666996863,,,Qual a taxa de mortalidade hospitalar por doenças cerebrovasculares ao longo dos anos?,"WITH base AS (
    SELECT
        EXTRACT(YEAR FROM i.DT_INTER) AS ano,
        COUNT(*) AS internacoes,
        SUM(CASE WHEN i.MORTE = TRUE THEN 1 ELSE 0 END) AS total_mortes
    FROM internacoes i
    WHERE (i.DIAG_PRINC LIKE 'I60%' OR i.DIAG_PRINC LIKE 'I61%' OR i.DIAG_PRINC LIKE 'I62%' OR i.DIAG_PRINC LIKE 'I63%' OR i.DIAG_PRINC LIKE 'I64%' OR i.DIAG_PRINC LIKE 'I65%' OR i.DIAG_PRINC LIKE 'I66%' OR i.DIAG_PRINC LIKE 'I67%' OR i.DIAG_PRINC LIKE 'I68%' OR i.DIAG_PRINC LIKE 'I69%')
    GROUP BY 1
)
SELECT
    ano,
    internacoes,
    total_mortes,
    ROUND(total_mortes * 100.0 / NULLIF(internacoes, 0), 2) AS taxa_mortalidade_hospitalar
FROM base
ORDER BY ano"
